prob_bin,mean_prob,win_rate,count
"(-0.001, 0.1]",0.07637574762696266,0.06666666666666667,780
"(0.1, 0.2]",0.15970086901731897,0.15941011235955055,2848
"(0.2, 0.3]",0.2564213475282679,0.24187725631768953,3878
"(0.3, 0.4]",0.3548208967259825,0.3506808431262824,5361
"(0.4, 0.5]",0.4539480315709773,0.44031158714703017,5135
"(0.5, 0.6]",0.5608635117432011,0.5409666044389131,4821
"(0.6, 0.7]",0.6492656635182474,0.6140816326530613,4900
"(0.7, 0.8]",0.7483622958100988,0.7194892191752146,4777
"(0.8, 0.9]",0.8507716774591395,0.8205293737895416,3098
"(0.9, 1.0]",0.9386525964633382,0.910904255319149,1504
